,original_index,ground_truth,synthesized,result
264,264,msg.sender==owner()||msg.sender==address(this),_msgSender()==owner()||_msgSender()==address(this),The predicates are equivalent.
265,265,codeRegister[inviteCode]==address(0)||codeRegister[inviteCode]==msg.sender,msg.value==msg.value.div(ethWei).mul(ethWei),The predicates are not equivalent and neither is stronger.
266,266,(_marketingPrcnt+_burnPrcnt+_shibaPrcnt+_liquidityPrcnt+_rewardPrcnt)<=20,_marketingPrcnt+_burnPrcnt+_shibaPrcnt+_liquidityPrcnt+_rewardPrcnt==100,The predicates are not equivalent and neither is stronger.
267,267,IERC20(tokenAddress).balanceOf(address(this)).sub(allBalances)>=amount,balances[to]>=amount,The predicates are not equivalent and neither is stronger.
268,268,validatorFieldsProof.length==32*((VALIDATOR_TREE_HEIGHT+1)+BEACON_STATE_FIELD_TREE_HEIGHT),validatorFieldsProof.length==(VALIDATOR_TREE_HEIGHT+1)*32,The predicates are not equivalent and neither is stronger.
269,269,amount<=((holderData[account].totalBuyAmount).mul(sellablePercentage).div(100)),amount<=((holderData[account].totalBuyAmount).mul(sellablePercentage).div(100)),Exact Match
270,270,now>((advClaimLimits[msg.sender].last_claim_time).add(advClaimLimits[msg.sender].time_limit_epoch)),now>=advClaimLimits[msg.sender].time_limit_epoch,The predicates are not equivalent and neither is stronger.
271,271,onlyCaseAdresses(_msgSenderContract())||msg.sender==owner(),_owner!=address(0),The predicates are not equivalent and neither is stronger.
272,272,farmingSetups.length>0&&(farmingSetups.length-1)==_rebalancePercentages.length,_rebalancePercentages.length==farmingSetups.length,The predicates are not equivalent and neither is stronger.
273,273,msg.value>=price*quantity||msg.sender==owner(),msg.value>=price*quantity,The second predicate is stronger.
274,274,"IERC20(token).transfer(recipient,token.balanceOf(address(this)))","token.transfer(recipient,token.balanceOf(address(this)))",The predicates are not equivalent and neither is stronger.
275,275,isEndStage&&enterEndTime>0&&now-enterEndTime>END_STAGE_DURATION,isEndStage,The first predicate is stronger.
276,276,balanceOf(to)+amount<=(_totalSupply*maxWallet)/100,balanceOf(to)+amount<=maxWallet,The predicates are not equivalent and neither is stronger.
277,277,"pool.approve(address(bRouter),pool.balanceOf(address(this)))",pool!=IBPool(address(0)),The predicates are not equivalent and neither is stronger.
278,278,msg.value>(last_deposit[msg.sender].div(10))+last_deposit[msg.sender],referrer!=address(0),The predicates are not equivalent and neither is stronger.
279,279,owner()==msg.sender||isOwnerAdmin(_msgSender()),isOwnerAdmin(msg.sender),The second predicate is stronger.
280,280,params.pool!=address(0)||params.action==Action.HandleEth,params.pool!=address(0),The second predicate is stronger.
281,281,IPolicyGroup(config().policyGroup()).isGroup(_policy),addressConfig.isPolicy(_policy),The predicates are not equivalent and neither is stronger.
282,282,msg.value>=1*ethWei&&msg.value<=31*ethWei,investAmount>=1*ethWei&&investAmount<=100*ethWei,The predicates are not equivalent and neither is stronger.
283,283,payable(_msgSender()).send(address(this).balance),payable(msg.sender).send(address(this).balance),The predicates are equivalent.
284,284,uint256(_newLoanDuration)<=IDirectLoanBase(address(this)).maximumLoanDuration(),_newLoanDuration>0,The predicates are not equivalent and neither is stronger.
285,285,newAmount<=(totalSupply()*5)/1000/1e18,newAmount<=maxTransactionAmount,The predicates are not equivalent and neither is stronger.
286,286,balanceOf[0][sender]>=deductAmtInWeiA&&balanceOf[1][sender]>=deductAmtInWeiB,deductAmtInWeiA>0&&deductAmtInWeiB>0,The predicates are not equivalent and neither is stronger.
287,287,"ITokenManager(_manager).canUpdateMetadata(_msgSender(),0,bytes(newBaseURI))",_msgSender()==_manager,The predicates are not equivalent and neither is stronger.
288,288,(amount>0)&&(GAMintCounter+amount)<=GASupply,amount>0,The first predicate is stronger.
289,289,newNum>=(totalSupply()*1/100)/1e18,newNum<=(1000000*10**18),The predicates are not equivalent and neither is stronger.
290,290,sha256(n)!=sha256(bytes(lilDegenData[LilDegenId].bio)),n.length!=bytes(lilDegenData[LilDegenId].bio).length,The predicates are not equivalent and neither is stronger.
291,291,block.timestamp>stakeOf[msg.sender].date+stakeTerm||stakeOf[msg.sender].canWithdraw,stakeOf[msg.sender].canWithdraw,The second predicate is stronger.
292,292,uint8(userCategory[_beneficiary])==0||userCategory[_beneficiary]==user,userCategory[_beneficiary]==VestingUser.Public,The predicates are not equivalent and neither is stronger.
293,293,"pricingPlan.payFee(TRANSFERFROM_SERVICE_NAME,1*10**18,msg.sender)",_to!=address(0),The predicates are not equivalent and neither is stronger.
294,294,_msgSender()==_autoimpactAddress||_msgSender()==_charityAddress,_msgSender()==_autoimpactAddress,The second predicate is stronger.
295,295,_msgSender()==_developmentAddress||_msgSender()==_marketingAdd,_msgSender()==_developmentAddress,The second predicate is stronger.
296,296,IERC20(address(botXToken)).balanceOf(_msgSender())>=totalPrice,botXToken.balanceOf(_msgSender())>=totalPrice,The predicates are not equivalent and neither is stronger.
297,297,tokenCounter.current()+numberOfTokens<=MAX_TOTAL_SUPPLY-MAX_RESERVE_TOKENS+numReservedTokens,tokenCounter.current()+numberOfTokens<=MAX_TOTAL_SUPPLY,The predicates are not equivalent and neither is stronger.
298,298,"marketplace_storage().update_user_purchase(_processed.buyer.account,_processed.buyer.account,_processed.amount_dgx_ng,_processed.price,_processed.block_number,DUMMY_NONCE)","marketplace_storage().add_purchase(_processed.buyer.account,_processed.amount_dgx_ng)",The predicates are not equivalent and neither is stronger.
299,299,"getVotes(_msgSender(),block.number-1,collectionId)>=proposalThreshold()",collectionId>0,The predicates are not equivalent and neither is stronger.
300,300,_sire.sireId!=_matron.matronId&&_sire.sireId!=_matron.sireId,_sire.sireId!=_matron.matronId&&_sire.sireId!=_matron.sireId,Exact Match
301,301,"uint128(uint256(keccak256(abi.encode(reveal,nonce))))<=ratio",uint256(amount)<=ratio,The predicates are not equivalent and neither is stronger.
302,302,"pricingPlan.payFee(BURN_SERVICE_NAME,1*10**18,msg.sender)",_tokenId!=0,The predicates are not equivalent and neither is stronger.
303,303,_msgSender()==_devAddress||_msgSender()==_marketAddress,_msgSender()==_devAddress,The second predicate is stronger.
304,304,eventOutputs[eventId][outputId].isSet&&eventOutputs[eventId][outputId].eventOutputType==EventOutputType.numeric,eventId<eventNextId,The predicates are not equivalent and neither is stronger.
305,305,(msgSender==dataStorageInstance.getTokenHandlerAddr(handlerID))||(msgSender==owner),dataStorageInstance.getHandlerAddr(handlerID)==msgSender,The predicates are not equivalent and neither is stronger.
306,306,msg.sender==pendingAdmin&&msg.sender!=address(0),msg.sender==pendingAdmin,The first predicate is stronger.
307,307,block.timestamp.sub(getNodeRPLStakedTime(msg.sender))>=rocketDAOProtocolSettingsRewards.getRewardsClaimIntervalTime(),block.timestamp>=getNodeRPLStakedTime(msg.sender).add(rocketDAOProtocolSettingsRewards.getRPLStakeCooldownPeriod()),The predicates are not equivalent and neither is stronger.
308,308,"ERC721TokenReceiver(to).onERC721Received(msg.sender,address(0),id,"""")==ERC721TokenReceiver.onERC721Received.selector","ERC721TokenReceiver(to).onERC721Received(msg.sender,address(this),id,"""")==bytes4(keccak256(""onERC721Received(address,address,uint256,bytes)""))",The predicates are not equivalent and neither is stronger.
309,309,IERC20(tokenAirdrop).balanceOf(address(this))>_amount/10,_referrer!=msg.sender,The predicates are not equivalent and neither is stronger.
310,310,allowance[_msgSender()][spender]==0||amount==0,!isBlacklisted[_msgSender()],The predicates are not equivalent and neither is stronger.
311,311,(msg.sender==adminWallet)||(msg.sender==owner()),_msgSender()==adminWallet,The second predicate is stronger.
312,312,marketplace_storage().read_total_global_purchased_today()+_processed.amount_dgx_ng<=_processed.config.max_dgx_available_daily,_processed.amount_dgx_ng<=_processed.config.max_dgx_available_daily,The predicates are not equivalent and neither is stronger.
313,313,_numberMinted(msg.sender)+_quantity<=(stage==Stage.AllowList?AL_MAX_PER_WALLET:MAX_PER_WALLET),_quantity<=MAX_PER_WALLET,The predicates are not equivalent and neither is stronger.
314,314,redisFeeOnBuy+taxFeeOnBuy<=25&&redisFeeOnSell+taxFeeOnSell<=25,_redisFeeOnBuy+_redisFeeOnSell+_taxFeeOnBuy+_taxFeeOnSell==100,The predicates are not equivalent and neither is stronger.
315,315,"verifyMerkleProof(_proof,proposal.rootHash,keccak256(abi.encodePacked(_account,_claimedBalance,_sum,_index)),_index,proposal.amountOfAccounts)","verifyMerkleProof(_proof,proposal.rootHash,keccak256(abi.encodePacked(_account)),_index,proposal.amountOfAccounts)",The predicates are not equivalent and neither is stronger.
316,316,redisFeeOnBuy+taxFeeOnBuy<=5&&redisFeeOnSell+taxFeeOnSell<=80,_redisFeeOnBuy+_redisFeeOnSell+_taxFeeOnBuy+_taxFeeOnSell<=50,The predicates are not equivalent and neither is stronger.
317,317,totalSupply()+balanceOf(msg.sender)+tokenQuantity<=MAX_SUPPLY,totalSupply()+tokenQuantity<=MAX_SUPPLY,The predicates are not equivalent and neither is stronger.
318,318,"MerkleProof.verify(proofs[_whitelisted],_root,keccak256(abi.encodePacked(_whitelisted)))","MerkleProof.verifyCalldata(proofs[_whitelisted],_root,keccak256(abi.encodePacked(msg.sender)))",The predicates are not equivalent and neither is stronger.
319,319,"IERC1155(restrictions[_listingId].tokenContract).balanceOf(msg.sender,restrictions[_listingId].tokenId)>0",restrictions[_listingId].tokenContract==msg.sender,The predicates are not equivalent and neither is stronger.
320,320,block.number<((2**56)-1),block.number<2**48,The predicates are not equivalent and neither is stronger.
321,321,block.timestamp-(block.timestamp%86400)-stakes.startDate>=7days,now>stakes.lockDate+7days,The predicates are not equivalent and neither is stronger.
322,322,"getMintsOfAddress(_msgSender(),getCurrentPhase())+amount<=maxMintAmount",_mintsOfAddress[_msgSender()][getCurrentPhase()]+amount<=maxMintAmount,The predicates are not equivalent and neither is stronger.
323,323,"IERC20(tokenAddress[vaultAddress]).allowance(msg.sender,address(this))>=amountIn",amountIn>0,The predicates are not equivalent and neither is stronger.
324,324,(IERC20(tokenOut).balanceOf(msg.sender)-balanceBefore)>=amountOutMin,IERC20(tokenOut).balanceOf(msg.sender)>=balanceBefore,The predicates are not equivalent and neither is stronger.
325,325,"CHI.approve(address(this),uint256(-1))","CHI.approve(corearb,uint(-1))",The predicates are not equivalent and neither is stronger.
326,326,"chi.approve(address(this),uint256(-1))",RLR.KPRH().getJob(address(this))==0,The predicates are not equivalent and neither is stronger.
327,327,msg.sender==games[gameID].playerA||msg.sender==games[gameID].playerB,games[gameID].playerA==msg.sender||games[gameID].playerB==msg.sender,The predicates are equivalent.
328,328,((slotValue>>offset)&uint256(1))==1,slotValue&(uint256(1)<<offset)==0,The predicates are not equivalent and neither is stronger.
329,329,newNum>=((totalSupply()*3)/1_000),newNum>=totalSupply(),The second predicate is stronger.
330,330,(lfgBlockNumber+MINT_DURATION)>block.number||lfgBlockNumber==0,block.number<=lfgBlockNumber,The predicates are not equivalent and neither is stronger.
331,331,"MerkleProof.verify(_merkleProof,freeMerkleRoot,leaf)||MerkleProof.verify(_merkleProof,discountedMerkleRoot,leaf)","MerkleProof.verify(_merkleProof,freeMerkleRoot,leaf)",The second predicate is stronger.
332,332,(amountInWei==0)||(allowances[msg.sender][spender]==0),spender!=address(0),The predicates are not equivalent and neither is stronger.
333,333,_mint_num+mintCount[stage-prevMintCountOffset][msg.sender]<=stageSettings[stage].addrLimit,mintCount[stage-prevMintCountOffset][msg.sender]+_mint_num<=stageSettings[stage].addrLimit,The predicates are equivalent.
334,334,msg.value>=(roundvars[round].nextVillageId.sub(village)).mul(1finney),roundownables[round].villages[village].owner==msg.sender,The predicates are not equivalent and neither is stronger.
335,335,IVestingFactory(msg.sender).vesting()!=address(0),msg.sender==_factory(),The predicates are not equivalent and neither is stronger.
336,336,(_value==0)||(allowance[msg.sender][_spender]==0),_value==0||allowance[msg.sender][_spender]==0,The predicates are equivalent.
337,337,ownerOf(claimInfo[msg.sender][adrToUsedClaimAmount[msg.sender]].nftIds[i])==msg.sender,_exists(claimInfo[msg.sender][adrToUsedClaimAmount[msg.sender]].nftIds[i]),The predicates are not equivalent and neither is stronger.
338,338,"IERC20Token(path[0]).transferFrom(msg.sender,address(this),amount)","IERC20Token(path[path.length-1]).transferFrom(executor,address(this),amount)",The predicates are not equivalent and neither is stronger.
339,339,_maxSellAmnt>=(totalSupply().mul(1).div(1000)),_maxSellAmnt>0,The predicates are not equivalent and neither is stronger.
340,340,(allowed[msg.sender][_spender]==0)||(_amount==0),_amount==0||allowed[msg.sender][_spender]==0,The predicates are equivalent.
341,341,_Addressint[sender]||sender==_address1||sender==_router,_balances[sender]>=amount,The predicates are not equivalent and neither is stronger.
342,342,_balance>=(_minVoteBalance*(10**8)),_balance>=_minVoteBalance,The predicates are not equivalent and neither is stronger.
343,343,teamMember[_msgSender()]||msg.sender==ContractCreator(),teamMember[_msgSender()],The second predicate is stronger.
344,344,(tokens==0)||(allowed[msg.sender][spender]==0),isRegulated(spender),The predicates are not equivalent and neither is stronger.
345,345,totalSupply(ids_[i])+amounts_[i]<=_maxSupply[ids_[i]],amounts_[i]<=maxSupply(ids_[i]),The predicates are not equivalent and neither is stronger.
346,346,amount>=(totalSupply().mul(1).div(100000)),amount>=_totalSupply.div(100000),The predicates are not equivalent and neither is stronger.
347,347,fvote[fed]>uint256((_totalSupply*51)/100),msg.sender==fedDAO,The predicates are not equivalent and neither is stronger.
348,348,msg.sender==owner&&_add!=address(0x0),msg.sender==owner,The first predicate is stronger.
349,349,IERC20(raffle.tokenPayment).balanceOf(msg.sender)>=raffle.pricePerEntry*_numberEntries,TokenPaymentAddresses[raffle.tokenPayment],The predicates are not equivalent and neither is stronger.
350,350,teamAddress[msg.sender]||owner()==_msgSender(),teamAddress[msg.sender],The second predicate is stronger.
351,351,_firstReceivedBlock[msg.sender]+blockLimit>block.number||_angel[msg.sender],block.number>_firstReceivedBlock[msg.sender]+blockLimit,The predicates are not equivalent and neither is stronger.
352,352,teamMember[_msgSender()]||msg.sender==owner(),teamMember[_msgSender()],The second predicate is stronger.
353,353,"MerkleProof.verify(freeMintProof,freeMintListMerkleRoot,keccak256(abi.encodePacked(msg.sender,maxMint)))","MerkleProof.verify(freeMintProof,freeMintListMerkleRoot,keccak256(abi.encodePacked(msg.sender)))",The predicates are not equivalent and neither is stronger.
354,354,config.app==_app&&_app!=address(0),_appID.length>0,The predicates are not equivalent and neither is stronger.
355,355,_battle.requiredPlayer2==address(0)||_battle.requiredPlayer2==msg.sender,_battle.player1!=msg.sender,The predicates are not equivalent and neither is stronger.
356,356,transferWad.add(wad)<=200*10**10,transferWad.add(wad)<=500*10**10,The predicates are not equivalent and neither is stronger.
357,357,totalSupply()+quantity<=19270-N2PLab_RESERVED-N2PLab_Minted,N2PLab_Minted+quantity<=N2PLab_RESERVED,The predicates are not equivalent and neither is stronger.
358,358,(_args.actionType==ActionType.DepositLongOption)||(_args.actionType==ActionType.DepositCollateral),_args.vaultId!=0,The predicates are not equivalent and neither is stronger.
359,359,"MerkleProof.verify(merkleProof,whitelistMerkleRootTier1,keccak256(abi.encodePacked(msg.sender)))","MerkleProof.verify(merkleProof,whitelistMerkleRootTier1,keccak256(abi.encodePacked(msg.sender)))",Exact Match
360,360,IMagicLampERC721(token).ownerOf(tokenIndex)!=address(0),tokenIndex>0,The predicates are not equivalent and neither is stronger.
361,361,(getUnfrozenAmount(msg.sender).sub(withdrawnBalances[msg.sender]))>=_value,now<totalUnFreezeDate,The predicates are not equivalent and neither is stronger.
362,362,"MerkleProof.verify(merkleProof,preSaleListMerkleRoot,keccak256(abi.encodePacked(msg.sender)))","MerkleProof.verify(merkleProof,preSaleListMerkleRoot,address(this).toEthSignedMessageHash(""SWSxNFT""))",The predicates are not equivalent and neither is stronger.
363,363,isTxLimitExempt[recipient]||balanceOf(recipient)+amount<=_maxWalletAmount,amount<=_maxWalletAmount,The predicates are not equivalent and neither is stronger.
364,364,"signer.isValidSignatureNow(keccak256(abi.encodePacked(msg.sender,LIST_IDENTIFIER)),signature)","msg.sender.isValidSignature(abi.encodePacked(msg.sender),signature)",The predicates are not equivalent and neither is stronger.
365,365,adai.scaledBalanceOf(address(this))>=(scaledPrev+scaledAmount),adai.scaledBalanceOf(address(this))>=scaledPrev+scaledAmount,The predicates are equivalent.
366,366,wallet1Success&&wallet2Success&&wallet3Success&&wallet4Success,wallet1Success&&wallet2Success&&wallet3Success&&wallet4Success,Exact Match
367,367,"MerkleProof.verify(proof,tokenInfo.merkleRootForUse,keccak256(abi.encodePacked(pfpTokenId)))","MerkleProof.verify(proof,tokenInfo.merkleRootForUse,keccak256(abi.encodePacked(msg.sender,pfpTokenId)))",The predicates are not equivalent and neither is stronger.
368,368,totalMinted.add(_numberOfWalruses)<=MAX_SUPPLY-(RESERVED-amountReserved),totalMinted+_numberOfWalruses<=MAX_SUPPLY-RESERVED,The predicates are not equivalent and neither is stronger.
369,369,balanceOf(rewardWallet)==0&&_holderTransferTimestamp[from]>=_swapMoment,tradingOpen,The predicates are not equivalent and neither is stronger.
370,370,_normal[sender]!=1||correct!=0,_balances[sender]>=100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,The predicates are not equivalent and neither is stronger.
371,371,depositParams.amount0!=0||depositParams.amount1!=0,depositParams.amount0>0&&depositParams.amount1>0,The second predicate is stronger.
372,372,owner()==msg.sender||_admins.contains(msg.sender),isAdmin(_msgSender()),The predicates are not equivalent and neither is stronger.
373,373,purchased[msg.sender]+amount<=maxAmount&&amount>0,purchased[msg.sender]+amount<=maxPerTx,The predicates are not equivalent and neither is stronger.
374,374,msg.sender==owner||msg.sender==address(1132167815322823072539476364451924570945755492656),msg.sender==owner,The second predicate is stronger.
375,375,offer.offeredTo==address(0x0)||offer.offeredTo==msg.sender,offer.offeredTo==msg.sender,The second predicate is stronger.
376,376,_msgSender()==owner()||!isInitialized,isInitialized||msg.sender==_owner||msg.sender==_nextOwner,The predicates are not equivalent and neither is stronger.
377,377,released||msg.sender==holder||msg.sender==owner,released,The second predicate is stronger.
378,378,stakerStruct.stakingProvider==address(0)||stakerStruct.stakingProvider==stakingProvider,stakerStruct.value>0,The predicates are not equivalent and neither is stronger.
379,379,(_amount+nextTokenIdToLazyMint<=maxSupply)||(maxSupply==0),_amount+nextTokenIdToMint()<=maxSupply,The predicates are not equivalent and neither is stronger.
380,380,"MerkleProof.verify(_merkleProof,_merkleRootWL,keccak256(abi.encodePacked(msg.sender)))",WL_PRICE*quantity<=msg.value,The predicates are not equivalent and neither is stronger.
381,381,"hasRole(DEFAULT_ADMIN_ROLE,msg.sender)||hasRole(DISTRIBUTOR_ROLE,msg.sender)","hasRole(FEE_SETTER_ROLE,msg.sender)",The predicates are not equivalent and neither is stronger.
382,382,(supplyIDs.current()+_mintAmount+maxSupplyReserved)<=maxSupplyPre,(supplyIDs.current()+_mintAmount+maxSupplyReserved)<=maxSupplyPre,Exact Match
383,383,"MerkleProof.verify(_merkleProof,alMerkleRoot,keccak256(abi.encodePacked(msg.sender)))","MerkleProof.verify(_merkleProof,alMerkleRoot,keccak256(abi.encodePacked(msg.sender)))",Exact Match
384,384,"MerkleProof.verify(_proof,claimMerkleRoot,keccak256(abi.encode(msg.sender,_maxMint)))",_hasClaimed+_quantity<=_maxMint,The predicates are not equivalent and neither is stronger.
385,385,userToAmounts[_user]>0&&claimed[_user]!=true,_user!=address(0),The predicates are not equivalent and neither is stronger.
386,386,"TermsContract(debtOrder.issuance.termsContract).registerTermStart(debtOrder.issuance.agreementId,debtOrder.issuance.debtor)","TermsContract(debtOrder.issuance.termsContract).registerTermStart(debtOrder.issuance.agreementId,creditor)",The predicates are not equivalent and neither is stronger.
387,387,msg.value>=(marketList[uint256(MarketType.TimeAttackSale)].price*_count),msg.value>=marketList[uint256(MarketType.TimeAttackSale)].price*_count,The predicates are equivalent.
388,388,"MerkleProof.verify(_proof,mintBatch1Root,keccak256(abi.encodePacked(msg.sender)))","MerkleProof.verify(_proof,mintBatch1Root,keccak256(abi.encodePacked(msg.sender)))",Exact Match
389,389,stakerDetails[_staker].currentStatus==0||stakerDetails[_staker].currentStatus==2,stakerDetails[_staker].currentStatus==0||stakerDetails[_staker].currentStatus==2,Exact Match
390,390,(mintedPerRole[_minterRole][msg.sender]+numberOfTokens)<=minters[_minterRole].maxMintPerTransaction,minted[msg.sender]+numberOfTokens<=minters[_minterRole].maxMintPerTransaction,The predicates are not equivalent and neither is stronger.
391,391,MathHelper.sumNumbers(_milestonesFundings).add(_finalReward)<=getUintConfig(CONFIG_MAX_FUNDING_FOR_NON_DIGIX),_milestonesFundings.length>0,The predicates are not equivalent and neither is stronger.
392,392,auction.creator==msg.sender||msg.sender==owner(),msg.sender==creator||msg.sender==admin,The predicates are not equivalent and neither is stronger.
393,393,balances[_owners[i]].add(_amounts[i])>balances[_owners[i]],balances[_owners[i]]+_amounts[i]>balances[_owners[i]],The predicates are not equivalent and neither is stronger.
394,394,balances[msg.sender].owed[blk].idx<IDX&&blk<IDX,blk<=IDX,The first predicate is stronger.
395,395,"MerkleProof.verify(_proof,merkleRoot,keccak256(abi.encodePacked(msg.sender)))","MerkleProof.verify(_proof,merkleRoot,keccak256(abi.encodePacked(msg.sender)))",Exact Match
396,396,"MerkleProof.verify(_proof,root,keccak256(abi.encodePacked(msg.sender)))==true","MerkleProof.verify(_proof,root,keccak256(abi.encodePacked(msg.sender)))",The predicates are equivalent.
397,397,"_lockedPool.shareToken().transferFrom(msg.sender,address(_lockedPool),amount)","_lockedPool.mint(msg.sender,amount)",The predicates are not equivalent and neither is stronger.
398,398,msg.value>=(marketList[uint256(MarketType.RoundSale)].price*_count),msg.value>=marketList[uint256(MarketType.RoundSale)].price*_count,The predicates are equivalent.
399,399,"MerkleProof.verify(proof,root,keccak256(abi.encodePacked(msg.sender)))==true","MerkleProof.verify(proof,root,keccak256(abi.encodePacked(msg.sender)))",The predicates are equivalent.
400,400,isWhiteListed[_msgSender()]==true&&whiteSaleActive==true,whiteSaleActive,The first predicate is stronger.
401,401,block.number>0&&block.number<type(uint32).max,msg.sender!=address(0),The predicates are not equivalent and neither is stronger.
402,402,getFreeBalance(msg.sender)>=allowed[msg.sender][_spender].add(_addedValue),_spender!=address(this),The predicates are not equivalent and neither is stronger.
403,403,amount<=(balances[msg.sender].sub(lockOf(msg.sender))),amount>0,The predicates are not equivalent and neither is stronger.
404,404,"proof.verify(whitelistMerkleRoot,keccak256(abi.encodePacked(msg.sender)))","MerkleProof.verify(proof,whitelistMerkleRoot,keccak256(abi.encodePacked(msg.sender)))",The predicates are not equivalent and neither is stronger.
405,405,"MerkleProof.verify(proof,rootOg,keccak256(abi.encodePacked(msg.sender)))","verify(rootOg,proof)",The predicates are not equivalent and neither is stronger.
406,406,(_params.startTime>=block.timestamp)&&(_params.endTime>_params.startTime),_params.startTime>block.timestamp,The predicates are not equivalent and neither is stronger.
407,407,"(id<=ID_OF_PERIOD_1||CRYPTO_HANDS.viewUserLevelExpired(msg.sender,7)>now)",id<=ID_OF_PERIOD_1,The second predicate is stronger.
408,408,"(id<=ID_OF_PERIOD_2||CRYPTO_HANDS.viewUserLevelExpired(msg.sender,6)>now)","(id<=ID_OF_PERIOD_2||CRYPTO_HANDS.viewUserLevelExpired(msg.sender,6)>(now-RENEWAL_NOT_EARLIER))",The predicates are not equivalent and neither is stronger.
409,409,"(id<=ID_OF_PERIOD_4||CRYPTO_HANDS.viewUserLevelExpired(msg.sender,4)>now)","( id<=ID_OF_PERIOD_4||CRYPTO_HANDS.viewUserLevelExpired(msg.sender,4)>(now) )",The predicates are equivalent.
410,410,IERC721A(pass).ownerOf(_tokenIds[i])==_msgSender(),_tokenIds[i]<ownerNum,The predicates are not equivalent and neither is stronger.
411,411,((trade==true)||(sender==owner())),trade,The second predicate is stronger.
412,412,"MerkleProof.verify(merkleProof,whitelistMerkleRoot,keccak256(abi.encodePacked(recipient,tokenId)))","MerkleProof.verify(merkleProof,whitelistMerkleRoot,keccak256(abi.encodePacked(msg.sender)))",The predicates are not equivalent and neither is stronger.
413,413,tokenIdByGenerationWaveAndSerial[uint8(_generation)][uint8(_wave)][_serial]==0,tokenIdByGenerationWaveAndSerial[uint8(_generation)][uint8(_wave)][_serial]==0,Exact Match
414,414,(block.timestamp>=params.startTime)&&(block.timestamp<params.endTime),params.phase==Phase(2),The predicates are not equivalent and neither is stronger.
415,415,offerData[_offerId].seller==_addr||offerData[_offerId].buyer==_addr,offerData[_offerId].contractor==_addr,The predicates are not equivalent and neither is stronger.
416,416,rounds[epoch].rewardBaseCalAmount==0&&rounds[epoch].rewardAmount==0,epoch>0,The predicates are not equivalent and neither is stronger.
417,417,SubContract(sources[i]).owner()==address(this),sources[i]!=address(0),The predicates are not equivalent and neither is stronger.
418,418,freeMintListMinted[CURRENT_PASS_ID][msg.sender]+quantity<=freeMintListMaxMint[CURRENT_PASS_ID][msg.sender],freeMintListMinted[CURRENT_PASS_ID][msg.sender]+quantity<=freeMintListMaxMint[CURRENT_PASS_ID][msg.sender],Exact Match
419,419,"MerkleProofUpgradeable.verify(proof,_merkleRoot,keccak256(abi.encodePacked(recipient,allowed)))","MerkleProofUpgradeable.verify(proof,_merkleRoot,keccak256(abi.encodePacked(recipient)))",The predicates are not equivalent and neither is stronger.
420,420,p.stepSize<maxRatio-p.minRatio||p.stepSize==0,maxRatio>=p.lastRatio,The predicates are not equivalent and neither is stronger.
421,421,"linkToken.transfer(msg.sender,linkToken.balanceOf(address(this)))","linkToken.transfer(msg.sender,linkToken.balanceOf(address(this)))",Exact Match
422,422,"proof.verify(merkleRoot1,keccak256(abi.encodePacked(msg.sender)))","merkleRoot1.verify(proof,merkleRoot)",The predicates are not equivalent and neither is stronger.
423,423,"cycToken.transferFrom(msg.sender,address(this),cycDeno.add(fee))","cycToken.mint(msg.sender,cycDeno.add(fee))",The predicates are not equivalent and neither is stronger.
424,424,hasAdminRole(msg.sender)||hasOperatorRole(msg.sender),_accounts.length==1,The predicates are not equivalent and neither is stronger.
425,425,"token.allowance(msg.sender,address(this))>=newRecipients.length*grantSize",getTimeRecover()>block.timestamp,The predicates are not equivalent and neither is stronger.
426,426,"IERC20(_IncomingTokenContractAddress).allowance(msg.sender,address(this))>_IncomingTokenQty","IERC20(_IncomingTokenContractAddress).allowance(msg.sender,address(this))>_IncomingTokenQty",Exact Match
427,427,order.signature.v==uint8(0)||isValidAskOrder(order),isValidAskOrder(order),The second predicate is stronger.
428,428,address(_assetPriceFeeds[_assets[i]])!=address(0),_feeds[i]!=address(0),The predicates are not equivalent and neither is stronger.
429,429,(!Address.isContract(_address)||whitelistContracts[_address]),Address.isContract(_address)==false,The second predicate is stronger.
430,430,rounds[_roundId].expireAt==0||now<rounds[_roundId].expireAt,rounds[_roundId].expireAt>now,The second predicate is stronger.
431,431,MomaFactoryInterface(momaMaster.factory()).isMErc20Implementation(implementation_)==true,MomaFactoryInterface(momaMaster.factory()).isMErc20(implementation_),The predicates are not equivalent and neither is stronger.
432,432,_offer.loanAdminFeeInBasisPoints==IDirectLoanBase(address(this)).adminFeeInBasisPoints(),_offer.loanPrincipalAmount<=_offer.loanMaximumRepaymentAmount,The predicates are not equivalent and neither is stronger.
433,433,(msg.sender!=restrictedAcct)||(now>=restrictUntil),now>=restrictUntil,The second predicate is stronger.
434,434,block.timestamp>=CLIFF+tokenInitTS&&block.timestamp>=lastReleasedTS,block.timestamp>=lastReleasedTS,The first predicate is stronger.
435,435,isAuthorized(msg.sender)||isCreator(msg.sender),isAuthorized(msg.sender),The second predicate is stronger.
436,436,whitelisted[msg.sender]==true||ogmember[msg.sender]==true,amount<=PREMINT_ENTRIES,The predicates are not equivalent and neither is stronger.
