predicate,label,results,hardness
"receipt[tokenId].stakedFromBlock<block.number,""requireTimeElapsed: Cannot stake/unstake/harvest in the same block""","receipt[tokenId].stakedFromBlock<block.number,""requireTimeElapsed: Cannot stake/unstake/harvest in the same block""",,5.539999999999999
"_maximum(option_)>=_tokens(investor_,option_)+tokens_,""Exceeds maximum vest amount""","_maximum(option_)>=_tokens(investor_,option_)+tokens_,""Exceeds maximum vest amount""",,5.53
"_tokens(investor_,option_)>=_claimed(investor_,option_)+tokens_,""Exceeds claimable""","_tokens(investor_,option_)>=_claimed(investor_,option_)+tokens_,""Exceeds claimable""",,5.53
"address(_cvx)!=address(0),'!_cvx'","address(_cvx)!=address(0),'!_cvx'",address(_cvx)!=address(0),5.53
"counter+numberOfTokens<=maxTokens-maxGiftedTokens+numGiftedTokens,""Not enough tokens remaining to mint""","counter+numberOfTokens<=maxTokens-maxGiftedTokens+numGiftedTokens,""Not enough tokens remaining to mint""",,5.53
"prepareBuyerFeeMessage(order,buyerFee).recover(sig.v,sig.r,sig.s)==buyerFeeSigner,""incorrect buyer fee signature""","prepareBuyerFeeMessage(order,buyerFee).recover(sig.v,sig.r,sig.s)==buyerFeeSigner,""incorrect buyer fee signature""",,5.53
"(numberOfTokens.add(accounts[msg.sender].mintedNFTs))<=maxMushroomPurchase,""Sorry purchase would exceed 3 mints per wallet""","(numberOfTokens.add(accounts[msg.sender].mintedNFTs))<=maxMushroomPurchase,""Sorry purchase would exceed 3 mints per wallet""",_tokenSupply.current()<MAX_MUSHROOM_SUPPLY,5.529999999999999
"balances[msg.sender].sub(tokens)>=walletsLocking[msg.sender].lockedTokens,""Please wait for tokens to be released""","balances[msg.sender].sub(tokens)>=walletsLocking[msg.sender].lockedTokens,""Please wait for tokens to be released""",,5.529999999999999
"msg.sender==safe||msg.sender==podAdmin[_podId],""not authorized""","msg.sender==safe||msg.sender==podAdmin[_podId],""not authorized""",msg.sender==safe,5.529999999999999
owner==msg.sender)||(msg.sender==marketAddy,(owner==msg.sender)||(msg.sender==marketAddy),,5.529999999999999
"totalSupply()+numberOfTokens<=maxAeternas-teamReserve,""Not enough Aeternas remaining to mint""","totalSupply()+numberOfTokens<=maxAeternas-teamReserve,""Not enough Aeternas remaining to mint""",,5.529999999999999
"_raffle.end==0||block.timestamp>_raffle.end,'Raffle entry period is not over yet.'","_raffle.end==0||block.timestamp>_raffle.end,'Raffle entry period is not over yet.'",_raffle.isClosed,5.5200000000000005
"block.timestamp>termInfo.start&&block.timestamp<termInfo.end,""not valid timestamp""","block.timestamp>termInfo.start&&block.timestamp<termInfo.end,""not valid timestamp""",,5.5200000000000005
"ratios.length==prices.length&&ratios.length==amounts.length,""Invalid input length""","ratios.length==prices.length&&ratios.length==amounts.length,""Invalid input length""",,5.5200000000000005
"registryNodeControllers[node][controller]||registryControllers[controller],""controller not approved by registry""","registryNodeControllers[node][controller]||registryControllers[controller],""controller not approved by registry""",,5.5200000000000005
"(_freeAmount+freeMinted)<=mfersNum.mul(freeMul),""Purchase exceed max free supply.""","(_freeAmount+freeMinted)<=mfersNum.mul(freeMul),""Purchase exceed max free supply.""",,5.52
"-1e18<=_newWeight&&_newWeight<=1e18,""invalid weight""","-1e18<=_newWeight&&_newWeight<=1e18,""invalid weight""",,5.52
"IHedgeGovernance(_governance).checkGovernance(msg.sender,0),""Hedge:!gov""","IHedgeGovernance(_governance).checkGovernance(msg.sender,0),""Hedge:!gov""",,5.52
"_getOwner(contract1,tokenId1)==_msgSender(),""Must own token to mash (1)""","_getOwner(contract1,tokenId1)==_msgSender(),""Must own token to mash (1)""",,5.52
"_getOwner(contract2,tokenId2)==_msgSender(),""Must own token to mash (2)""","_getOwner(contract2,tokenId2)==_msgSender(),""Must own token to mash (2)""",,5.52
address(this).call.value(msg.value)(_data),address(this).call.value(msg.value)(_data),_implementation.call.value(msg.value)(_data),5.52
"allowance[src][msg.sender]>=wad,""Token/insufficient-allowance""","allowance[src][msg.sender]>=wad,""Token/insufficient-allowance""",,5.52
"allowance[usr][msg.sender]>=wad,""Token/insufficient-allowance""","allowance[usr][msg.sender]>=wad,""Token/insufficient-allowance""",,5.52
"apolloToken.artistDAO()!=address(this),""This function cannot be called while this contract is the DAO""","apolloToken.artistDAO()!=address(this),""This function cannot be called while this contract is the DAO""",,5.52
"dai.approve(address(compound),_amount),""DAI/approve""","dai.approve(address(compound),_amount),""DAI/approve""","dai.approve(address(compound),_amount)==0",5.52
msg.sender==crowdsaleCreators[_ffCrowdsale]||msg.sender==owner,msg.sender==crowdsaleCreators[_ffCrowdsale]||msg.sender==owner,msg.sender==owner||msg.sender==crowdsaleCreators[_ffCrowdsale],5.52
msg.sender==moderator)||(msg.sender==owner,(msg.sender==moderator)||(msg.sender==owner),,5.52
msg.sender==wallet1)||(msg.sender==wallet2,(msg.sender==wallet1)||(msg.sender==wallet2),,5.52
"totalSupply()+amt<freeSupply+1,""Not enough Free BoobsOO left.""","totalSupply()+amt<freeSupply+1,""Not enough Free BoobsOO left.""",amt>0,5.52
"(totalPublicMint[msg.sender]+_quantity)<=MAX_PUBLIC_MINT,""69ERS :: Already minted 3 times!""","(totalPublicMint[msg.sender]+_quantity)<=MAX_PUBLIC_MINT,""69ERS :: Already minted 3 times!""",(totalPublicMint[msg.sender]+_quantity)<=MAX_PUBLIC_MINT,5.51
RoundTime[Round]>now||RoundTime[Round]==0,RoundTime[Round]>now||RoundTime[Round]==0,,5.51
"_token.balanceOf(address(this))>=amount,""CloverBridge: balance is not enough in the bridge contract!""","_token.balanceOf(address(this))>=amount,""CloverBridge: balance is not enough in the bridge contract!""",,5.51
"address(cubeTokensMap[spotSymbol][inverse])==address(0),""Already added""","address(cubeTokensMap[spotSymbol][inverse])==address(0),""Already added""",,5.51
"canBeRedeemed&&!_redeemedTokens[tokenContract][tokenId],""Invalid token or already redeemed""","canBeRedeemed&&!_redeemedTokens[tokenContract][tokenId],""Invalid token or already redeemed""",,5.51
"currentSupply()+times<=MAX_PRESALE_SUPPLY+MAX_TEAM_SUPPLY,""No more presale mints available""","currentSupply()+times<=MAX_PRESALE_SUPPLY+MAX_TEAM_SUPPLY,""No more presale mints available""",,5.51
decimals()==ERC20(underlying_).decimals(),decimals()==ERC20(underlying_).decimals(),,5.51
"factory.liabilityFinalized(liability,gas-gasleft())","factory.liabilityFinalized(liability,gas-gasleft())",,5.51
"ids.length==limits.length&&ids.length==uris.length,""ids limits uri length max eq""","ids.length==limits.length&&ids.length==uris.length,""ids limits uri length max eq""",,5.51
"matchAddresSigner(hashTransaction(msg.sender,token_quantity,nonce),signature),""DIRECT MINT IS NOT ALLOWED please visit www.legionsofloud.com""","matchAddresSigner(hashTransaction(msg.sender,token_quantity,nonce),signature),""DIRECT MINT IS NOT ALLOWED please visit www.legionsofloud.com""",,5.51
"mintedCount[SalePhase.FoundersPresale][msg.sender]+quantity<=saleConfig.maxPerAddress,""Quantity exceeds max per address.""","mintedCount[SalePhase.FoundersPresale][msg.sender]+quantity<=saleConfig.maxPerAddress,""Quantity exceeds max per address.""",,5.51
"msg.sender==IERC20(contract_).owner(),""You are not the Contract Owner!""","msg.sender==IERC20(contract_).owner(),""You are not the Contract Owner!""",,5.51
"msg.sender==saleConfig_.token||msg.sender==saleConfig_.operator,""cannot register""","msg.sender==saleConfig_.token||msg.sender==saleConfig_.operator,""cannot register""",,5.51
"msg.sender==takoyaki.owner||isApprovedForAll(takoyaki.owner,msg.sender)","msg.sender==takoyaki.owner||isApprovedForAll(takoyaki.owner,msg.sender)",,5.51
"totalSupply()+quantity*adresses.length<=MAX_SUPPLY,""SOLD OUT""","totalSupply()+quantity*adresses.length<=MAX_SUPPLY,""SOLD OUT""",,5.51
"owner()==msg.sender||admins[msg.sender],""No Access""","owner()==msg.sender||admins[msg.sender],""No Access""",,5.509999999999999
"(num+balanceOf(msg.sender)<=maxTokensPerWallet),""You already own the maximun amount of tokens for this wallet""","(num+balanceOf(msg.sender)<=maxTokensPerWallet),""You already own the maximun amount of tokens for this wallet""",,5.5
"IToken(tokenAddress).transfer(_userAddress,_tokenAmount),""Insufficient balance of presale contract!""","IToken(tokenAddress).transfer(_userAddress,_tokenAmount),""Insufficient balance of presale contract!""",,5.5
"_numberMinted(_msgSender())+tokens<=MaxperWalletWL,""Max NFT Per Wallet exceeded""","_numberMinted(_msgSender())+tokens<=MaxperWalletWL,""Max NFT Per Wallet exceeded""",,5.5
"address(_routers[i])!=address(0),""invalid address""","address(_routers[i])!=address(0),""invalid address""",,5.5
address(wrapper.token())==address(token),address(wrapper.token())==address(token),,5.5
"block.timestamp>=auctions[auctionId].firstBidTime.add(auctions[auctionId].duration),""Auction hasn't completed""","block.timestamp>=auctions[auctionId].firstBidTime.add(auctions[auctionId].duration),""Auction hasn't completed""",,5.5
"block.timestamp>=publicWindowOpens&&block.timestamp<=publicWindowCloses,""Public sale: purchase window closed.""","block.timestamp>=publicWindowOpens&&block.timestamp<=publicWindowCloses,""Public sale: purchase window closed.""",,5.5
"block.timestamp>=startsAt&&block.timestamp<endsAt,""TournamentEntryV2: Invalid tournament registration period.""","block.timestamp>=startsAt&&block.timestamp<endsAt,""TournamentEntryV2: Invalid tournament registration period.""",,5.5
"dai.approve(address(this),daiAmount),""DAI/approve""","dai.approve(address(this),daiAmount),""DAI/approve""","dai.transfer(_recipient,daiAmount)",5.5
"dai.approve(address(this),feeAmount),""DAI/approve""","dai.approve(address(this),feeAmount),""DAI/approve""",,5.5
"force||l.assets.length<=l.registry.maxActiveAssets(),'too many assets'","force||l.assets.length<=l.registry.maxActiveAssets(),'too many assets'",,5.5
"ids.length==metadataIDs.length&&ids.length==amounts.length,'MFT: array mismatch'","ids.length==metadataIDs.length&&ids.length==amounts.length,'MFT: array mismatch'",,5.5
"value==(amount*term)*_price[tokenType],""Ether value sent is incorrect""","value==(amount*term)*_price[tokenType],""Ether value sent is incorrect""",,5.5
"_numberMinted(_msgSender())+tokens<=MaxperWallet,"" Max NFT Per Wallet exceeded""","_numberMinted(_msgSender())+tokens<=MaxperWallet,"" Max NFT Per Wallet exceeded""",tokens<=maxSupply-supply,5.49
"address(params.erc20Vault)!=address(0),ExceptionsLibrary.ADDRESS_ZERO","address(params.erc20Vault)!=address(0),ExceptionsLibrary.ADDRESS_ZERO",,5.49
"address(params.uniV3Vault)!=address(0),ExceptionsLibrary.ADDRESS_ZERO","address(params.uniV3Vault)!=address(0),ExceptionsLibrary.ADDRESS_ZERO",,5.49
"balanceOf(msg.sender)-discountedLots[msg.sender]>=amount,""NFT locked in contract or Invalid Amount""","balanceOf(msg.sender)-discountedLots[msg.sender]>=amount,""NFT locked in contract or Invalid Amount""",,5.49
"factory.liabilityCreated(liability,gas-gasleft())","factory.liabilityCreated(liability,gas-gasleft())",,5.49
"roundSalePerRound+_count<marketList[uint256(MarketType.RoundSale)].maxAmount,""This round max limit""","roundSalePerRound+_count<marketList[uint256(MarketType.RoundSale)].maxAmount,""This round max limit""",,5.49
"supply+totalBurned-1+_mintAmount<=maxSupply,""Max NFT limit exceeded.""","supply+totalBurned-1+_mintAmount<=maxSupply,""Max NFT limit exceeded.""",supply+_mintAmount<=maxSupply-totalBurned,5.49
_level>Level.ZERO)&&(Level.DAPP>=_level,(_level>Level.ZERO)&&(Level.DAPP>=_level),,5.489999999999999
address(gauge.lp_token())==address(bpt),address(gauge.lp_token())==address(bpt),,5.489999999999999
map[uint256(msg.sender)+x]!=0,map[uint256(msg.sender)+x]!=0,msg.sender==tx.origin,5.489999999999999
"msg.value>=(price+mintingCharges)*amount,""ERC1155Mintable: Insufficent fund transferred.""","msg.value>=(price+mintingCharges)*amount,""ERC1155Mintable: Insufficent fund transferred.""",,5.489999999999999
"Merkle.verifyInclusionSha256({proof:withdrawalProof.timestampProof,root:withdrawalProof.executionPayloadRoot,leaf:withdrawalProof.timestampRoot,index:TIMESTAMP_INDEX}),""BeaconChainProofs.verifyWithdrawal: Invalid blockNumber merkle proof""","Merkle.verifyInclusionSha256({proof:withdrawalProof.timestampProof,root:withdrawalProof.executionPayloadRoot,leaf:withdrawalProof.timestampRoot,index:TIMESTAMP_INDEX}),""BeaconChainProofs.verifyWithdrawal: Invalid blockNumber merkle proof""",,5.48
"_isApprovedOrOwner(_msgSender(),bundleId),""AssetWrapper: Non-owner withdrawal""","_isApprovedOrOwner(_msgSender(),bundleId),""AssetWrapper: Non-owner withdrawal""","_isApprovedOrOwner(_msgSender(),bundleId)",5.48
"balanceOf(address(this))-prizePool>=mintAmount,""Not enough CLIPS left to mint""","balanceOf(address(this))-prizePool>=mintAmount,""Not enough CLIPS left to mint""",totalSupply()+mintAmount<=maxSupply,5.48
"block.timestamp>=preSaleWindowOpens&&block.timestamp<=preSaleWindowCloses,""Presale: purchase window closed.""","block.timestamp>=preSaleWindowOpens&&block.timestamp<=preSaleWindowCloses,""Presale: purchase window closed.""",,5.48
"msg.sender==admin||msg.sender==operator,""Timelock::queueTransaction: Call must come from admin or operator.""","msg.sender==admin||msg.sender==operator,""Timelock::queueTransaction: Call must come from admin or operator.""",,5.48
"quantity+_numberMinted(_msgSender())<=MAX_MINTS_WHITELIST,""Exceeded max mints""","quantity+_numberMinted(_msgSender())<=MAX_MINTS_WHITELIST,""Exceeded max mints""",,5.48
"subscriptionPlans[_id]._days>0&&subscriptionPlans[_id]._enabled,""Plan does not exist or disabled.""","subscriptionPlans[_id]._days>0&&subscriptionPlans[_id]._enabled,""Plan does not exist or disabled.""",,5.48
"unlimitedContracts.length==unlimitedOK.length&&unlimitedOK.length==3,""There should be 3 unlimited Contracts""","unlimitedContracts.length==unlimitedOK.length&&unlimitedOK.length==3,""There should be 3 unlimited Contracts""",ecMax<=max,5.48
"_currentIndex-_startTokenId()+quantity<=MAX_TOTAL_SUPPLY,""RXAPE: not enough supply left""","_currentIndex-_startTokenId()+quantity<=MAX_TOTAL_SUPPLY,""RXAPE: not enough supply left""",,5.4799999999999995
"_verify(_createLeaf(_msgSender()),_proof),""SF: Invalid Merkle proof""","_verify(_createLeaf(_msgSender()),_proof),""SF: Invalid Merkle proof""",,5.4799999999999995
blocklist[_from]==0&&blocklist[_to]==0,blocklist[_from]==0&&blocklist[_to]==0,,5.4799999999999995
"daiContract.transfer(initiator,sendBackToInitiator),""Token refund of devFee+pokeReward to Initiator failed!""","daiContract.transfer(initiator,sendBackToInitiator),""Token refund of devFee+pokeReward to Initiator failed!""",,5.4799999999999995
isContract(address(_fac.regFactory())),isContract(address(_fac.regFactory())),,5.4799999999999995
msg.sender==_dev)||(msg.sender==_owner,(msg.sender==_dev)||(msg.sender==_owner),,5.4799999999999995
msg.sender==_owner)||(msg.sender==_dev,(msg.sender==_owner)||(msg.sender==_dev),,5.4799999999999995
"msg.value>=(PRICE*count),""Insufficient payment, 0.15 ETH per item * your count of token""","msg.value>=(PRICE*count),""Insufficient payment, 0.15 ETH per item * your count of token""",,5.4799999999999995
"purchaseCurrency.balanceOf(msg.sender)>=cost*_mintAmount,'Insufficient funds!'","purchaseCurrency.balanceOf(msg.sender)>=cost*_mintAmount,'Insufficient funds!'",,5.4799999999999995
"tokenid.current()+qty<TOTAL_SUPPLY+1,""Ran out of quantity""","tokenid.current()+qty<TOTAL_SUPPLY+1,""Ran out of quantity""",,5.4799999999999995
"bids[_loc.txId][_loc.outputIdx][_loc.satoshiIdx][_bidIdx].buyerETHAddress==_seller,""TeleOrdinal: not owner""","bids[_loc.txId][_loc.outputIdx][_loc.satoshiIdx][_bidIdx].buyerETHAddress==_seller,""TeleOrdinal: not owner""",,5.470000000000001
"listID.length==root.length&&listID.length==startTimes.length,'Array mismatch'","listID.length==root.length&&listID.length==startTimes.length,'Array mismatch'",,5.470000000000001
"prepareBidOrderHash(order,bidder,buyingAmount).recover(sig.v,sig.r,sig.s)==bidder,""Incorrect bid signature""","prepareBidOrderHash(order,bidder,buyingAmount).recover(sig.v,sig.r,sig.s)==bidder,""Incorrect bid signature""","toEthSignedMessageHash(prepareBidOrderHash(order,bidder,buyingAmount),sig).recover(sig)==order.key.owner",5.470000000000001
"rounds.length==amounts.length&&amounts.length==proofs.length,""invalid length""","rounds.length==amounts.length&&amounts.length==proofs.length,""invalid length""",rounds.length==amounts.length&&amounts.length==proofs.length,5.470000000000001
"tokenCount()+_amount<=totalSupply(),""YOU CAN'T MINT MORE THAN MAXIMUM SUPPLY""","tokenCount()+_amount<=totalSupply(),""YOU CAN'T MINT MORE THAN MAXIMUM SUPPLY""",,5.470000000000001
"DoomersGeneration(contracts[_generation]).ownerOf(_tokenId)==msg.sender,'Sender Denied'","DoomersGeneration(contracts[_generation]).ownerOf(_tokenId)==msg.sender,'Sender Denied'",,5.47
"PERCENT_SOLD+PERCENT_BURNED+PERCENT_DEV_FUND+PERCENT_DEEP_FARMING_VAULT==100,""Amounts not proper""","PERCENT_SOLD+PERCENT_BURNED+PERCENT_DEV_FUND+PERCENT_DEEP_FARMING_VAULT==100,""Amounts not proper""",,5.47
"_baseAmounts[_msgSender()].add(baseAmountForSale)<=_maxBaseAmount,""Purchase Amount should be less than maxBaseAmount""","_baseAmounts[_msgSender()].add(baseAmountForSale)<=_maxBaseAmount,""Purchase Amount should be less than maxBaseAmount""",,5.47
"_mintedTokens.current()+numberOfTokens<=MAX_Bones,""This exceeds the maximum number of Party Bones on sale!""","_mintedTokens.current()+numberOfTokens<=MAX_Bones,""This exceeds the maximum number of Party Bones on sale!""",,5.47
"e(_isValidSignature(signer(),digest,signature),SwaapV2Errors.BITMAP_SIGNATURE_NOT_VALID","e(_isValidSignature(signer(),digest,signature),SwaapV2Errors.BITMAP_SIGNATURE_NOT_VALID",,5.47
"hasRole(CALCULATOR,msg.sender),""invalid-curve-calculator""","hasRole(CALCULATOR,msg.sender),""invalid-curve-calculator""",,5.47
msg.sender==ADMIN||(msg.value>=price),msg.sender==ADMIN||(msg.value>=price),,5.47
numerator/denominator<=2&&numerator>denominator,numerator/denominator<=2&&numerator>denominator,,5.47
"publicMemoryPages.length==nPages*(PAGE_INFO_SIZE+1),""Invalid publicMemoryPages length.""","publicMemoryPages.length==nPages*(PAGE_INFO_SIZE+1),""Invalid publicMemoryPages length.""",,5.47
"msg.value==uint(msg.data[0])*price,""price not right, please check.""","msg.value==uint(msg.data[0])*price,""price not right, please check.""",msg.value>=price*uint(msg.data[0]),5.469999999999999
"(totalChosenMint[msg.sender]+_quantity)<=MAX_CHOSEN_MINT,""The Vile: Already minted 1!""","(totalChosenMint[msg.sender]+_quantity)<=MAX_CHOSEN_MINT,""The Vile: Already minted 1!""",,5.46
"_redisFeeOnBuy+_redisFeeOnSell+_taxFeeOnBuy+_taxFeeOnSell<=99,""Total Fee should be less than 99""","_redisFeeOnBuy+_redisFeeOnSell+_taxFeeOnBuy+_taxFeeOnSell<=99,""Total Fee should be less than 99""",,5.46
"_startTime-promotionPeriods[currentTokenId].endTime<7890000,""Token must have start time < 1 year after the most recent token's end time""","_startTime-promotionPeriods[currentTokenId].endTime<7890000,""Token must have start time < 1 year after the most recent token's end time""",,5.46
"_values[i]!=msg.sender,""Yourself!!!""","_values[i]!=msg.sender,""Yourself!!!""",,5.46
"from.length==amount.length&&from.length==desc.length,""array length mismatch""","from.length==amount.length&&from.length==desc.length,""array length mismatch""",,5.46
"ids[i]>0&&metadataIDs[i]>0,errorMint","ids[i]>0&&metadataIDs[i]>0,errorMint",,5.46
info[0][3].add(quantity)<=info[0][4],info[0][3].add(quantity)<=info[0][4],,5.46
"mintedCount[SalePhase.MemberSale][msg.sender]+quantity<=saleConfig.maxPerAddress,""Quantity exceeds max per address.""","mintedCount[SalePhase.MemberSale][msg.sender]+quantity<=saleConfig.maxPerAddress,""Quantity exceeds max per address.""",,5.46
"mintedCount[SalePhase.PublicSale][msg.sender]+quantity<=saleConfig.maxPerAddress,""Quantity exceeds max per address.""","mintedCount[SalePhase.PublicSale][msg.sender]+quantity<=saleConfig.maxPerAddress,""Quantity exceeds max per address.""",,5.46
"msg.sender==DataLibrary.landzAddress||msg.sender==DataLibrary.advisorA,""012""","msg.sender==DataLibrary.landzAddress||msg.sender==DataLibrary.advisorA,""012""",,5.46
"publicMint||owner()==receiver,""Public mint is not allowed, only token owner can mint!""","publicMint||owner()==receiver,""Public mint is not allowed, only token owner can mint!""",,5.46
"token.transfer(address(ivaiLockup),amount),""[Withdraw] Something went wrong while transferring your initial deposit""","token.transfer(address(ivaiLockup),amount),""[Withdraw] Something went wrong while transferring your initial deposit""",amount>0,5.46
"msg.sender==owner()||ofts[msg.sender],""unauth""","msg.sender==owner()||ofts[msg.sender],""unauth""",,5.459999999999999
"totalSupply()+amount[i]<maxSupply,""Max supply exceeded!""","totalSupply()+amount[i]<maxSupply,""Max supply exceeded!""",,5.459999999999999
"mintBalancePreSale[msg.sender].add(_tokenId.length)<=preSaleMintLimit,""Dapp: Wallet's presale mint limit exceeded!""","mintBalancePreSale[msg.sender].add(_tokenId.length)<=preSaleMintLimit,""Dapp: Wallet's presale mint limit exceeded!""",,5.45
"msg.value==0||msg.value>=minValue,""Min Amount for investing is 0.01 Ether.""","msg.value==0||msg.value>=minValue,""Min Amount for investing is 0.01 Ether.""",,5.45
"qty+_numberMinted(_msgSender())<=maxPerWallet,""Max mint per wallet reached""","qty+_numberMinted(_msgSender())<=maxPerWallet,""Max mint per wallet reached""",,5.45
"quantity+_numberMinted(_msgSender())<=MAX_MINTS_PUBLIC,""Exceeded max mints""","quantity+_numberMinted(_msgSender())<=MAX_MINTS_PUBLIC,""Exceeded max mints""",,5.45
"scheduledCalls[aionId]==keccak256(abi.encodePacked(blocknumber,from,to,value,gaslimit,gasprice,fee,data,schedType))","scheduledCalls[aionId]==keccak256(abi.encodePacked(blocknumber,from,to,value,gaslimit,gasprice,fee,data,schedType))",,5.45
"(balanceOf(msg.sender)+_mintAmount)<=walletLimit,'Wallet limit is reached.'","(balanceOf(msg.sender)+_mintAmount)<=walletLimit,'Wallet limit is reached.'",,5.449999999999999
"IERC20(fftAddr).transferFrom(tableAddr,tableAddr2Info[tableAddr].maker,profitOfMaker)","IERC20(fftAddr).transferFrom(tableAddr,tableAddr2Info[tableAddr].maker,profitOfMaker)",,5.449999999999999
"IERC20(utilityToken).transferFrom(msg.sender,holdingAccount,amount),""GovernanceExchanger::exchange: Transfer of utility tokens failed.""","IERC20(utilityToken).transferFrom(msg.sender,holdingAccount,amount),""GovernanceExchanger::exchange: Transfer of utility tokens failed.""",,5.449999999999999
admins[msg.sender]||msg.sender==address(this),admins[msg.sender]||msg.sender==address(this),,5.449999999999999
bKDS[sender]<=7&&bKDS[recipient]<=7,bKDS[sender]<=7&&bKDS[recipient]<=7,,5.449999999999999
"totalSupply()+_mintAmount<maxSupply+1,""Exceeds supply.""","totalSupply()+_mintAmount<maxSupply+1,""Exceeds supply.""",totalSupply()+_mintAmount<=maxSupply,5.449999999999999
"totalSupply()+amount<genesisSupply+1,""Not enough remaining for mint amount requested""","totalSupply()+amount<genesisSupply+1,""Not enough remaining for mint amount requested""",,5.449999999999999
"(amountLeftAfter>10000||amountLeftAfter==0),""remainder after claim is less than minmum amount""","(amountLeftAfter>10000||amountLeftAfter==0),""remainder after claim is less than minmum amount""",,5.44
isPremine()||isStarted(),isPremine()||isStarted(),,5.44
r.state==RequestState.BorrowerCreated||r.state==RequestState.LenderCreated,r.state==RequestState.BorrowerCreated||r.state==RequestState.LenderCreated,,5.44
"utilityToken.ownerOf(tokenId)!=address(this),""Stake: Token is already staked in this contract""","utilityToken.ownerOf(tokenId)!=address(this),""Stake: Token is already staked in this contract""",,5.44
"versionWhitelist[_pixelChain.version]==false||addressWhitelist[msg.sender],""You are not allowed to create this type of PXCM""","versionWhitelist[_pixelChain.version]==false||addressWhitelist[msg.sender],""You are not allowed to create this type of PXCM""",,5.44
"(balanceOf(msg.sender,id)+amount)<=maxQuantityPerCollector,""Newmisma: you cannot mint more than allowed""","(balanceOf(msg.sender,id)+amount)<=maxQuantityPerCollector,""Newmisma: you cannot mint more than allowed""",,5.4399999999999995
"(block.timestamp-deploy_timestamp)/vesting_period>claim_count_1,""You can't brand that much in this vesting period""","(block.timestamp-deploy_timestamp)/vesting_period>claim_count_1,""You can't brand that much in this vesting period""",vesting_balance>0,5.4399999999999995
"(block.timestamp-deploy_timestamp)/vesting_period>claim_count_2,""You can't brand that much in this vesting period""","(block.timestamp-deploy_timestamp)/vesting_period>claim_count_2,""You can't brand that much in this vesting period""",,5.4399999999999995
"(msg.sender==perpetualAltruism||authorizedOperators[msg.sender]),""Only operators can call this function""","(msg.sender==perpetualAltruism||authorizedOperators[msg.sender]),""Only operators can call this function""",,5.4399999999999995
"_etheria.getOffers(col,row).length==0,""EW09: The offer/ers arrays for this tile must be empty. Reject all offers.""","_etheria.getOffers(col,row).length==0,""EW09: The offer/ers arrays for this tile must be empty. Reject all offers.""",,5.4399999999999995
"_keepers.remove(_keeperAddress),""remove-keeper-failed""","_keepers.remove(_keeperAddress),""remove-keeper-failed""",,5.4399999999999995
"address(GELATO)==msg.sender,""ASimpleServiceStandard: msg.sender != gelato""","address(GELATO)==msg.sender,""ASimpleServiceStandard: msg.sender != gelato""",,5.4399999999999995
"balanceOf(owner())>=gettokenAmount(usdtamount),""not enough xlov""","balanceOf(owner())>=gettokenAmount(usdtamount),""not enough xlov""",,5.4399999999999995
"block.timestamp<startTime&&startTime<endTime,""endTime should be greater than startTime. startTime should be greater than current time""","block.timestamp<startTime&&startTime<endTime,""endTime should be greater than startTime. startTime should be greater than current time""",,5.4399999999999995
"block.timestamp>=_epochEndTimestamp,""TwabRewards/epoch-not-over""","block.timestamp>=_epochEndTimestamp,""TwabRewards/epoch-not-over""",,5.4399999999999995
block.timestamp>=minChallengePeriodEnd&&minChallengePeriodEnd!=0,block.timestamp>=minChallengePeriodEnd&&minChallengePeriodEnd!=0,,5.4399999999999995
"block.timestamp>=rounds[epoch-2].closeTimestamp,""Can only open new round after round n-2 closeTimestamp""","block.timestamp>=rounds[epoch-2].closeTimestamp,""Can only open new round after round n-2 closeTimestamp""",,5.4399999999999995
msg.sender==owner()||superAdmins[msg.sender],msg.sender==owner()||superAdmins[msg.sender],,5.4399999999999995
"pool.getToken(params.tokenIndexTo)==IERC20(tokenOut),""!tokenOut""","pool.getToken(params.tokenIndexTo)==IERC20(tokenOut),""!tokenOut""",,5.4399999999999995
"totalSupply()+count<=generalAvailable+adoptedAvailable,""Not enough tokens available""","totalSupply()+count<=generalAvailable+adoptedAvailable,""Not enough tokens available""",,5.4399999999999995
"virtueToken.transferFrom(address(this),msg.sender,_virtueTokenAmt),""Reverting because call to virtueToken.transferFrom returned false""","virtueToken.transferFrom(address(this),msg.sender,_virtueTokenAmt),""Reverting because call to virtueToken.transferFrom returned false""",,5.4399999999999995
"virtueToken.transferFrom(msg.sender,address(this),_virtueTokenAmt),""Reverting because call to virtueToken.transferFrom returned false""","virtueToken.transferFrom(msg.sender,address(this),_virtueTokenAmt),""Reverting because call to virtueToken.transferFrom returned false""",,5.4399999999999995
"_isContract(_contract),""The address you entered is returning a extcodesize of 0 - please ensure this is a contract and not a wallet!""","_isContract(_contract),""The address you entered is returning a extcodesize of 0 - please ensure this is a contract and not a wallet!""",,5.43
"address(_claimRewards)!=address(0),""No rewards contract specified, but a rewards tax is set.""","address(_claimRewards)!=address(0),""No rewards contract specified, but a rewards tax is set.""",,5.43
"address(masterCopyCountdown.masterCopy)!=address(0),""The master copy must be a valid address""","address(masterCopyCountdown.masterCopy)!=address(0),""The master copy must be a valid address""",,5.43
f.finishedAt!=0&&now>f.finishedAt,f.finishedAt!=0&&now>f.finishedAt,,5.43
"keepers.remove(_keeperAddress),""remove-keeper-failed""","keepers.remove(_keeperAddress),""remove-keeper-failed""",,5.43
